WASTE_ID,SOURCE,ORG_ID,WWTP_NAME,COUNTRY,CNTRY_ISO,LATITUDE,LONGITUDE,QUAL_LOC,LAT_OUT,LON_OUT,STATUS,POP_SERVED,QUAL_POP,WASTE_DIS,QUAL_WASTE,LEVEL,QUAL_LEVEL,DF,HYRIV_ID,RIVER_DIS,COAST_10KM,COAST_50KM,DESIGN_CAP,QUAL_CAP
2248,1,1279514,Strzyzow,Ukraine,UKR,50.841,24.031,2,50.84,24.106,Not Reported,99,2,0.096,1,Secondary,1,36188011.51,20352809,40.163,0,0,2500,2
56448,12,3598,,Ukraine,UKR,44.396,33.977,1,44.39,33.96,Not Reported,22412,4,1865.016,4,Secondary,2,,20516712,,1,1,,3
56449,12,3599,,Ukraine,UKR,44.41,34.021,1,44.39,33.96,Not Reported,32052,4,2667.2,4,Secondary,2,,20516712,,1,1,,3
56450,12,3600,,Ukraine,UKR,44.44,33.724,1,44.494,33.79,Not Reported,24948,4,2076.038,4,Secondary,2,119.86,20514644,2.856,0,1,,3
56452,12,3602,,Ukraine,UKR,44.477,33.789,1,44.494,33.79,Not Reported,29383,4,2445.084,4,Secondary,2,101.92,20514644,2.856,0,1,,3
56453,12,3603,,Ukraine,UKR,44.502,34.208,1,44.485,34.16,Not Reported,62474,4,5198.8,4,Secondary,2,,20514808,,1,1,,3
56454,12,3604,,Ukraine,UKR,44.512,33.579,1,44.494,33.598,Not Reported,50866,4,4232.815,4,Secondary,2,,20514545,,1,1,,3
56457,12,3607,,Ukraine,UKR,44.529,34.272,1,44.573,34.348,Not Reported,23179,4,1928.862,4,Secondary,2,,20512910,,1,1,,3
56461,12,3611,,Ukraine,UKR,44.567,33.444,1,44.615,33.531,Not Reported,58561,4,4873.217,4,Secondary,2,,20513004,,1,1,,3
56462,12,3612,,Ukraine,UKR,44.58,33.565,1,44.494,33.598,Not Reported,103058,4,8576.009,4,Secondary,2,,20514545,,1,1,,3
56463,12,3613,,Ukraine,UKR,44.597,34.371,1,44.669,34.415,Not Reported,24327,4,2024.354,4,Secondary,2,,20510948,,1,1,,3
56465,12,3615,,Ukraine,UKR,44.616,33.506,1,44.615,33.531,Not Reported,70797,4,5891.386,4,Secondary,2,,20513004,,1,1,,3
56469,12,3619,,Ukraine,UKR,44.696,33.973,1,44.694,33.91,Not Reported,6055,4,503.859,4,Secondary,2,479.591,20510389,2.791,0,1,,3
56470,12,3620,,Ukraine,UKR,44.722,34.003,1,44.694,33.91,Not Reported,5645,4,469.78,4,Secondary,2,514.309,20510389,2.791,0,1,,3
56471,12,3621,,Ukraine,UKR,44.739,33.828,1,44.731,33.798,Not Reported,33006,4,2746.581,4,Secondary,2,112.233,20509593,3.536,0,1,,3
56472,12,3622,,Ukraine,UKR,44.74,33.662,1,44.727,33.585,Not Reported,33398,4,2779.237,4,Secondary,2,,20509687,,1,1,,3
56473,12,3623,,Ukraine,UKR,44.765,34.587,1,44.756,34.56,Not Reported,12034,4,1001.395,4,Secondary,2,,20509074,,1,1,,3
56477,12,3627,,Ukraine,UKR,44.824,33.657,1,44.84,33.652,Not Reported,8878,4,738.777,4,Secondary,2,,20507304,,1,1,,3
56480,12,3630,,Ukraine,UKR,44.857,33.615,1,44.84,33.652,Not Reported,16459,4,1369.627,4,Secondary,2,,20507304,,1,1,,3
56484,12,3634,,Ukraine,UKR,44.883,34.116,1,44.923,34.156,Not Reported,271767,4,22615.271,4,Secondary,2,12.03,20505560,2.887,0,1,,3
